kernel,kernel_path,kernel_sha256,variant,experiment,run,guest_memory_bytes,entered_kvm,returncode,primary_result,timed_out,linux_version,e820,serial_output,panic,exit_reason,exits,serial_exits,wall_ms,max_rss_kib,stdout_path,stderr_path
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,functional,1,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,2360,91392,experiments/stage02/results/logs/primary-baseline-functional-01.stdout,experiments/stage02/results/logs/primary-baseline-functional-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,no_cpuid,functional,1,134217728,1,0,halted,0,0,0,0,0,hlt,1,0,30,27776,experiments/stage02/results/logs/primary-no_cpuid-functional-01.stdout,experiments/stage02/results/logs/primary-no_cpuid-functional-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,fixed_32m,functional,1,33554432,0,1,loader_rejected,0,0,0,0,0,,0,0,30,14336,experiments/stage02/results/logs/primary-fixed_32m-functional-01.stdout,experiments/stage02/results/logs/primary-fixed_32m-functional-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,no_boot_params,functional,1,134217728,1,1,triple_fault,0,0,0,0,0,shutdown,1,0,30,27776,experiments/stage02/results/logs/primary-no_boot_params-functional-01.stdout,experiments/stage02/results/logs/primary-no_boot_params-functional-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,no_e820,functional,1,134217728,1,124,panic,1,1,0,1,1,,,,15002,,experiments/stage02/results/logs/primary-no_e820-functional-01.stdout,experiments/stage02/results/logs/primary-no_e820-functional-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,no_cmdline,functional,1,134217728,1,0,halted,0,0,0,0,0,hlt,179477,20,1740,77056,experiments/stage02/results/logs/primary-no_cmdline-functional-01.stdout,experiments/stage02/results/logs/primary-no_cmdline-functional-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,no_protected_mode,functional,1,134217728,1,124,timeout,1,0,0,0,0,,,,15002,,experiments/stage02/results/logs/primary-no_protected_mode-functional-01.stdout,experiments/stage02/results/logs/primary-no_protected_mode-functional-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,no_uart,functional,1,134217728,1,124,timeout,1,0,0,0,0,,,,15002,,experiments/stage02/results/logs/primary-no_uart-functional-01.stdout,experiments/stage02/results/logs/primary-no_uart-functional-01.stderr
compat,/boot/vmlinuz-6.18.0.bak,ea464032aed2962f448b10752ffae41cb9aaadbf503c695afa481de1dca905c7,baseline,functional,1,134217728,1,124,panic,1,1,1,1,1,,,,15002,,experiments/stage02/results/logs/compat-baseline-functional-01.stdout,experiments/stage02/results/logs/compat-baseline-functional-01.stderr
compat,/boot/vmlinuz-6.18.0.bak,ea464032aed2962f448b10752ffae41cb9aaadbf503c695afa481de1dca905c7,no_cpuid,functional,1,134217728,1,0,halted,0,0,0,0,0,hlt,1,0,40,32256,experiments/stage02/results/logs/compat-no_cpuid-functional-01.stdout,experiments/stage02/results/logs/compat-no_cpuid-functional-01.stderr
compat,/boot/vmlinuz-6.18.0.bak,ea464032aed2962f448b10752ffae41cb9aaadbf503c695afa481de1dca905c7,fixed_32m,functional,1,33554432,0,1,loader_rejected,0,0,0,0,0,,0,0,20,16128,experiments/stage02/results/logs/compat-fixed_32m-functional-01.stdout,experiments/stage02/results/logs/compat-fixed_32m-functional-01.stderr
compat,/boot/vmlinuz-6.18.0.bak,ea464032aed2962f448b10752ffae41cb9aaadbf503c695afa481de1dca905c7,no_boot_params,functional,1,134217728,1,1,triple_fault,0,0,0,0,0,shutdown,1,0,40,32256,experiments/stage02/results/logs/compat-no_boot_params-functional-01.stdout,experiments/stage02/results/logs/compat-no_boot_params-functional-01.stderr
compat,/boot/vmlinuz-6.18.0.bak,ea464032aed2962f448b10752ffae41cb9aaadbf503c695afa481de1dca905c7,no_e820,functional,1,134217728,1,124,panic,1,1,0,1,1,,,,15002,,experiments/stage02/results/logs/compat-no_e820-functional-01.stdout,experiments/stage02/results/logs/compat-no_e820-functional-01.stderr
compat,/boot/vmlinuz-6.18.0.bak,ea464032aed2962f448b10752ffae41cb9aaadbf503c695afa481de1dca905c7,no_cmdline,functional,1,134217728,1,124,timeout,1,0,0,1,0,,,,15002,,experiments/stage02/results/logs/compat-no_cmdline-functional-01.stdout,experiments/stage02/results/logs/compat-no_cmdline-functional-01.stderr
compat,/boot/vmlinuz-6.18.0.bak,ea464032aed2962f448b10752ffae41cb9aaadbf503c695afa481de1dca905c7,no_protected_mode,functional,1,134217728,1,124,timeout,1,0,0,0,0,,,,15002,,experiments/stage02/results/logs/compat-no_protected_mode-functional-01.stdout,experiments/stage02/results/logs/compat-no_protected_mode-functional-01.stderr
compat,/boot/vmlinuz-6.18.0.bak,ea464032aed2962f448b10752ffae41cb9aaadbf503c695afa481de1dca905c7,no_uart,functional,1,134217728,1,124,timeout,1,0,0,0,0,,,,15002,,experiments/stage02/results/logs/compat-no_uart-functional-01.stdout,experiments/stage02/results/logs/compat-no_uart-functional-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,1,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,2140,90496,experiments/stage02/results/logs/primary-baseline-performance-01.stdout,experiments/stage02/results/logs/primary-baseline-performance-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,2,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,2390,91392,experiments/stage02/results/logs/primary-baseline-performance-02.stdout,experiments/stage02/results/logs/primary-baseline-performance-02.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,3,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,2370,91392,experiments/stage02/results/logs/primary-baseline-performance-03.stdout,experiments/stage02/results/logs/primary-baseline-performance-03.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,4,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,2120,91392,experiments/stage02/results/logs/primary-baseline-performance-04.stdout,experiments/stage02/results/logs/primary-baseline-performance-04.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,5,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,2280,91392,experiments/stage02/results/logs/primary-baseline-performance-05.stdout,experiments/stage02/results/logs/primary-baseline-performance-05.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,6,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,1830,91392,experiments/stage02/results/logs/primary-baseline-performance-06.stdout,experiments/stage02/results/logs/primary-baseline-performance-06.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,7,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,1830,91392,experiments/stage02/results/logs/primary-baseline-performance-07.stdout,experiments/stage02/results/logs/primary-baseline-performance-07.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,8,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,2330,91392,experiments/stage02/results/logs/primary-baseline-performance-08.stdout,experiments/stage02/results/logs/primary-baseline-performance-08.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,9,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,2490,90496,experiments/stage02/results/logs/primary-baseline-performance-09.stdout,experiments/stage02/results/logs/primary-baseline-performance-09.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,baseline,performance,10,134217728,1,0,halted,0,1,1,1,0,hlt,209384,29927,1820,91392,experiments/stage02/results/logs/primary-baseline-performance-10.stdout,experiments/stage02/results/logs/primary-baseline-performance-10.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,no_e820,performance,1,134217728,1,124,panic,1,1,0,1,1,,,,15002,,experiments/stage02/results/logs/primary-no_e820-performance-01.stdout,experiments/stage02/results/logs/primary-no_e820-performance-01.stderr
primary,/boot/vmlinuz-6.16.0,c62176c98b661daa8435e485aaa73b64b1f339dfdfe809d5dd6d59515f047e2c,no_e820,performance,2,134217728,1,124,panic,1,1,0,1,1,,,,15002,,experiments/stage02/results/logs/primary-no_e820-performance-02.stdout,experiments/stage02/results/logs/primary-no_e820-performance-02.stderr
