kernel,variant,experiment,runs,loader_rejected,triple_fault,panic,halted,booted,timeout,error,success_rate,wall_ms_avg,wall_ms_min,wall_ms_max,exits_avg,exits_min,exits_max,serial_exits_avg,serial_exits_min,serial_exits_max,max_rss_kib_avg,max_rss_kib_min,max_rss_kib_max
primary,baseline,functional,1,0,0,0,1,0,0,0,1.000,2360.000,2360,2360,209384.000,209384,209384,29927.000,29927,29927,91392.000,91392,91392
primary,baseline,performance,10,0,0,0,10,0,0,0,1.000,2160.000,1820,2490,209384.000,209384,209384,29927.000,29927,29927,91212.800,90496,91392
primary,no_cpuid,functional,1,0,0,0,1,0,0,0,1.000,30.000,30,30,1.000,1,1,0.000,0,0,27776.000,27776,27776
primary,fixed_32m,functional,1,1,0,0,0,0,0,0,0.000,30.000,30,30,0.000,0,0,0.000,0,0,14336.000,14336,14336
primary,no_boot_params,functional,1,0,1,0,0,0,0,0,0.000,30.000,30,30,1.000,1,1,0.000,0,0,27776.000,27776,27776
primary,no_e820,functional,1,0,0,1,0,0,0,0,1.000,15002.000,15002,15002,,,,,,,,,
primary,no_e820,performance,10,0,0,10,0,0,0,0,1.000,15002.000,15002,15002,,,,,,,,,
primary,no_cmdline,functional,1,0,0,0,1,0,0,0,1.000,1740.000,1740,1740,179477.000,179477,179477,20.000,20,20,77056.000,77056,77056
primary,no_protected_mode,functional,1,0,0,0,0,0,1,0,0.000,15002.000,15002,15002,,,,,,,,,
primary,no_uart,functional,1,0,0,0,0,0,1,0,0.000,15002.000,15002,15002,,,,,,,,,
compat,baseline,functional,1,0,0,1,0,0,0,0,1.000,15002.000,15002,15002,,,,,,,,,
compat,no_cpuid,functional,1,0,0,0,1,0,0,0,1.000,40.000,40,40,1.000,1,1,0.000,0,0,32256.000,32256,32256
compat,fixed_32m,functional,1,1,0,0,0,0,0,0,0.000,20.000,20,20,0.000,0,0,0.000,0,0,16128.000,16128,16128
compat,no_boot_params,functional,1,0,1,0,0,0,0,0,0.000,40.000,40,40,1.000,1,1,0.000,0,0,32256.000,32256,32256
compat,no_e820,functional,1,0,0,1,0,0,0,0,1.000,15002.000,15002,15002,,,,,,,,,
compat,no_cmdline,functional,1,0,0,0,0,0,1,0,0.000,15002.000,15002,15002,,,,,,,,,
compat,no_protected_mode,functional,1,0,0,0,0,0,1,0,0.000,15002.000,15002,15002,,,,,,,,,
compat,no_uart,functional,1,0,0,0,0,0,1,0,0.000,15002.000,15002,15002,,,,,,,,,
